Wall time,Step,Value
1587590689.7016637,0,0.3392449915409088
1587590864.6032534,1,0.2511725425720215
1587591020.1764133,2,0.2380715161561966
1587591175.4892623,3,0.22974394261837006
1587591330.2287915,4,0.22535072267055511
1587591484.7450728,5,0.19372060894966125
1587591639.6125407,6,0.18925036489963531
1587591793.427527,7,0.17171460390090942
1587591948.193314,8,0.16544176638126373
1587592102.8732977,9,0.17171849310398102
1587592255.2661338,10,0.13822852075099945
1587592410.0701444,11,0.12260082364082336
1587592564.1794639,12,0.13817988336086273
1587592716.3350897,13,0.13804012537002563
1587592868.626387,14,0.1350085586309433
1587593020.2339203,15,0.1419677585363388
1587593171.8722906,16,0.12278363853693008
1587593324.6331875,17,0.09413159638643265
1587593478.704297,18,0.14023396372795105
1587593631.324835,19,0.10349730402231216
1587593783.1087143,20,0.116123728454113
1587593935.2377114,21,0.13214203715324402
1587594086.857552,22,0.1239638477563858
1587594238.3658364,23,0.14391198754310608
1587594390.1230838,24,0.11484423279762268
1587594541.888752,25,0.14808280766010284
1587594693.5625849,26,0.13703393936157227
1587594843.924437,27,0.14238934218883514
1587594996.0524707,28,0.09526491165161133
1587595147.9253764,29,0.1008729413151741
1587595299.300614,30,0.12980836629867554
1587595451.1029224,31,0.09022219479084015
1587595605.4085162,32,0.11216139048337936
1587595757.0662942,33,0.1212121769785881
1587595908.9522638,34,0.08755262196063995
1587596062.73429,35,0.1072457879781723
1587596214.2394283,36,0.13082079589366913
1587596365.5894687,37,0.10390468686819077
1587596516.6917834,38,0.1257926970720291
1587596668.1756315,39,0.12609407305717468
1587596819.898594,40,0.09749739617109299
1587596972.0212321,41,0.09901877492666245
1587597123.3945775,42,0.12020953744649887
1587597275.7414002,43,0.08773720264434814
1587597427.325218,44,0.09558159857988358
1587597578.652754,45,0.09257322549819946
1587597730.241662,46,0.09416333585977554
1587597882.6488478,47,0.0655498132109642
1587598036.7305334,48,0.0845109298825264
1587598188.194341,49,0.11872298270463943
1587598340.0838218,50,0.09997747838497162
1587598491.6287782,51,0.11002170294523239
1587598642.5818942,52,0.10746277123689651
1587598794.1740944,53,0.09934160858392715
1587598945.7322462,54,0.09108955413103104
1587599097.5655894,55,0.08116752654314041
1587599248.710814,56,0.08078227937221527
1587599400.834362,57,0.07368965446949005
1587599552.9733021,58,0.08614960312843323
1587599704.3823948,59,0.10003689676523209
1587599856.2989557,60,0.06164873391389847
1587600010.9939198,61,0.09953882545232773
1587600162.309655,62,0.10059696435928345
1587600313.9366295,63,0.08609039336442947
1587600465.3699143,64,0.10285691916942596
1587600616.6078935,65,0.12196604907512665
1587600767.9824493,66,0.09971500188112259
1587600919.6180522,67,0.0890469029545784
1587601071.4737039,68,0.09756097942590714
1587601222.6796198,69,0.09498786181211472
1587601375.7104695,70,0.06876267492771149
1587601529.4584072,71,0.06395959854125977
1587601683.4510684,72,0.07916669547557831
1587601836.3224492,73,0.0888073742389679
1587601989.7157054,74,0.08330132067203522
1587602142.8170352,75,0.07808239012956619
1587602296.9199762,76,0.06685811281204224
1587602448.9184687,77,0.08897370100021362
1587602600.0151937,78,0.08698077499866486
1587602753.018692,79,0.08130042999982834
1587602905.7866442,80,0.07982569932937622
1587603058.3206482,81,0.06026603281497955
1587603213.3522964,82,0.06998201459646225
1587603366.6847584,83,0.07594539225101471
1587603520.3926847,84,0.05927125737071037
1587603675.194234,85,0.07516150176525116
1587603828.0619607,86,0.0881604477763176
1587603982.39345,87,0.08996134996414185
1587604136.860765,88,0.06147165223956108
1587604290.7303596,89,0.0769713819026947
1587604445.3170204,90,0.06588485091924667
1587604599.3301558,91,0.07352055609226227
1587604753.2005157,92,0.08070345968008041
1587604908.1326342,93,0.05398472025990486
1587605063.5461981,94,0.09457240998744965
1587605216.904489,95,0.06943521648645401
1587605369.2201252,96,0.07060909271240234
1587605523.5403583,97,0.08898928016424179
1587605677.5227883,98,0.0701933279633522
1587605831.8384922,99,0.05482667312026024
1587605987.6503367,100,0.04421878233551979
1587606143.4082613,101,0.06854303926229477
1587606295.9797966,102,0.07326097041368484
1587606450.5594413,103,0.07431971281766891
1587606605.483861,104,0.07205697149038315
1587606760.3591204,105,0.06253832578659058
1587606914.9778135,106,0.08014139533042908
1587607068.352524,107,0.09594745188951492
1587607222.87121,108,0.07430468499660492
1587607376.7288203,109,0.06856320798397064
1587607531.0605557,110,0.055076006799936295
1587607683.6941328,111,0.057294320315122604
1587607837.9649847,112,0.05667285993695259
1587607992.498571,113,0.047802068293094635
1587608145.8965616,114,0.05029817670583725
1587608300.325539,115,0.051503997296094894
1587608453.6086938,116,0.073979452252388
1587608608.3121815,117,0.05787099152803421
1587608762.3445814,118,0.07458560913801193
1587608915.8277209,119,0.06849250197410583
1587609068.9670093,120,0.06218516826629639
1587609222.5509205,121,0.06738542765378952
1587609375.9591186,122,0.052643436938524246
1587609529.8028922,123,0.0493636354804039
1587609683.3144336,124,0.0642131119966507
1587609838.4359672,125,0.04953081160783768
