Wall time,Step,Value
1587590492.3464653,0,6.443676948547363
1587590950.3344827,1,6.442729949951172
1587590989.1936386,2,6.439852237701416
1587591028.0984588,3,6.432860374450684
1587591066.9378152,4,6.426931858062744
1587591105.7827923,5,6.422733783721924
1587591144.51507,6,6.41847038269043
1587591183.5287287,7,6.415877819061279
1587591222.357113,8,6.412397384643555
1587591261.2004879,9,6.407660961151123
1587591300.1428502,10,6.405862808227539
1587591339.09806,11,6.402085781097412
1587591377.8068588,12,6.40156364440918
1587591416.5534103,13,6.397728443145752
1587591455.6468213,14,6.393842697143555
1587591494.674455,15,6.392038822174072
1587591533.4528725,16,6.39019775390625
1587591572.3652494,17,6.387425899505615
1587591611.0358112,18,6.382821083068848
1587591650.1643054,19,6.382077217102051
1587591689.0484524,20,6.378677845001221
1587591727.6238766,21,6.374372959136963
1587591766.4700544,22,6.373775959014893
1587591805.5812595,23,6.369457244873047
1587591844.4256496,24,6.367582321166992
1587591883.2550058,25,6.3666534423828125
1587591922.097588,26,6.362003326416016
1587591960.9575408,27,6.359221458435059
1587591999.7701874,28,6.355679512023926
1587592038.578062,29,6.354403018951416
1587592077.5642726,30,6.350723743438721
1587592116.4487047,31,6.348577976226807
1587592155.3892713,32,6.347016334533691
1587592194.228335,33,6.343139171600342
1587592233.2045422,34,6.3426408767700195
1587592272.0889614,35,6.337704181671143
1587592310.912623,36,6.336638450622559
1587592349.7762456,37,6.332043647766113
1587592388.5586205,38,6.329277992248535
1587592427.2648518,39,6.327367782592773
1587592466.0459807,40,6.325838565826416
1587592504.8074,41,6.323141098022461
1587592544.3008132,42,6.3195414543151855
1587592583.2990606,43,6.318353176116943
1587592622.2247498,44,6.313814163208008
1587592661.191921,45,6.310457706451416
1587592700.081056,46,6.308479309082031
1587592739.0035474,47,6.305216312408447
1587592777.896998,48,6.303994178771973
1587592816.902552,49,6.299128532409668
1587592855.6695979,50,6.296384811401367
1587592894.5357666,51,6.294229984283447
1587592933.3399181,52,6.290849685668945
1587592972.2388818,53,6.288442134857178
1587593010.9821224,54,6.284412384033203
1587593049.916838,55,6.283463478088379
1587593088.8913796,56,6.279913902282715
1587593127.564722,57,6.278995990753174
1587593166.4690099,58,6.275175094604492
1587593205.2115097,59,6.272622585296631
1587593244.1101348,60,6.267524242401123
1587593283.7606049,61,6.264616966247559
1587593322.4804373,62,6.260955810546875
1587593361.4723358,63,6.262337684631348
1587593396.9854338,64,6.256511688232422
1587593435.8697917,65,6.252608299255371
1587593474.6319892,66,6.251683712005615
1587593513.5358298,67,6.248448371887207
1587593552.5068157,68,6.24297571182251
1587593591.5803213,69,6.242795944213867
1587593630.3996496,70,6.239701271057129
1587593669.358106,71,6.2372965812683105
1587593708.0736535,72,6.233654499053955
1587593746.8085155,73,6.228620529174805
1587593786.561509,74,6.227945327758789
1587593825.3338506,75,6.225584030151367
1587593864.1115723,76,6.221458435058594
1587593903.1214445,77,6.218468189239502
1587593941.9657252,78,6.213995933532715
1587593981.0533938,79,6.213223457336426
1587594019.7921019,80,6.207373142242432
1587594058.4818397,81,6.2072930335998535
1587594097.3109386,82,6.203197479248047
1587594136.2122784,83,6.197734355926514
1587594175.209834,84,6.196282863616943
1587594213.8590622,85,6.191922187805176
1587594252.73258,86,6.186595916748047
1587594291.5620122,87,6.185929298400879
1587594330.46156,88,6.1855692863464355
1587594369.2543318,89,6.1775288581848145
1587594408.2446818,90,6.175905704498291
1587594446.9073346,91,6.169853210449219
1587594485.6228204,92,6.167262077331543
1587594524.457917,93,6.162991046905518
1587594563.2256467,94,6.1631269454956055
1587594598.9791522,95,6.160119533538818
1587594637.8071046,96,6.153692245483398
1587594676.8205993,97,6.1514129638671875
1587594715.374464,98,6.1461286544799805
1587594754.2344594,99,6.145395278930664
