Wall time,Step,Value
1587198859.8241887,0,0.4290732741355896
1587198921.132042,1,0.20350481569766998
1587198981.3740072,2,0.17090846598148346
1587199045.5720096,3,0.15166331827640533
1587199102.281865,4,0.12044911831617355
1587199161.1083434,5,0.12720665335655212
1587199221.045256,6,0.1299525648355484
1587199280.8780994,7,0.13343539834022522
1587199338.2516375,8,0.12196344137191772
1587199394.986548,9,0.1469096541404724
1587199452.5630412,10,0.122801773250103
1587199508.2011955,11,0.13379906117916107
1587199560.9750512,12,0.1330810934305191
1587199618.0689976,13,0.11901641637086868
1587199675.21404,14,0.1224556565284729
1587199727.9523365,15,0.13295340538024902
1587199780.3801541,16,0.12003180384635925
1587199835.3164363,17,0.12944523990154266
1587199884.8799233,18,0.1096755862236023
1587199934.7311857,19,0.11529040336608887
1587199985.9177127,20,0.12108715623617172
1587200040.866973,21,0.14108610153198242
1587200091.8009853,22,0.10870338976383209
1587200141.9855568,23,0.12453828006982803
1587200192.4785526,24,0.11880117654800415
1587200242.6265445,25,0.11289027333259583
1587200289.665775,26,0.11473670601844788
1587200335.552418,27,0.12269285321235657
1587200382.7736504,28,0.11812072992324829
1587200425.784231,29,0.0964515432715416
1587200470.2457802,30,0.11219938099384308
1587200515.3513844,31,0.09399909526109695
1587200558.4998603,32,0.11556736379861832
1587200604.8844025,33,0.0782027393579483
1587200648.1853988,34,0.09771934151649475
1587200690.0471656,35,0.09695008397102356
1587200733.702926,36,0.12060531228780746
1587200777.1606984,37,0.10779540985822678
1587200819.7210875,38,0.10757051408290863
1587200861.2815216,39,0.11447330564260483
1587200904.4052083,40,0.1172669380903244
1587200948.7809722,41,0.07718786597251892
1587200992.8437052,42,0.08638495206832886
1587201034.161458,43,0.09649118781089783
1587201075.5234282,44,0.11667759716510773
1587201116.421915,45,0.1026669517159462
1587201155.7341402,46,0.0869106724858284
1587201195.325666,47,0.08923264592885971
1587201236.6465683,48,0.11887520551681519
1587201276.8474472,49,0.10598193109035492
1587201319.377964,50,0.10156270116567612
1587201360.1693678,51,0.09846615791320801
