Wall time,Step,Value
1587199239.551486,0,0.9735242128372192
1587199367.3544514,1,0.2902362048625946
1587199516.7276902,2,0.09094387292861938
1587199648.9032176,3,0.1143793910741806
1587199794.5806904,4,0.07950598746538162
1587199936.1136727,5,0.08012571930885315
1587200096.4604492,6,0.11186377704143524
1587200285.2634706,7,0.07581348717212677
1587200435.2329364,8,0.08731293678283691
1587200609.0433092,9,0.08361643552780151
1587200796.9175675,10,0.10351411998271942
1587200971.8694577,11,0.08151944726705551
1587201170.159991,12,0.09855310618877411
1587201346.093166,13,0.09715157002210617
1587201532.261376,14,0.09844712167978287
1587201696.1352632,15,0.09822788834571838
1587201894.7666855,16,0.10080888122320175
1587202146.8335307,17,0.1402692049741745
