Wall time,Step,Value
1586964380.3276682,0,2.211615800857544
1586964430.6743531,1,0.7429961562156677
1586964478.4099386,2,0.34611666202545166
1586964523.224588,3,0.14220161736011505
1586964569.9796102,4,0.18087278306484222
1586964614.8697612,5,0.08112015575170517
1586964661.0108318,6,0.2589262127876282
1586964711.6852326,7,0.2042880803346634
1586964759.5840316,8,0.05954301729798317
1586964807.0358276,9,0.11387660354375839
1586964858.5601768,10,0.11173760890960693
1586964910.848561,11,0.09233871102333069
1586964958.5388916,12,0.11562879383563995
1586965008.291908,13,0.10153526812791824
1586965059.93478,14,0.12659567594528198
1586965109.5931826,15,0.10933075845241547
1586965161.9202168,16,0.11979518830776215
1586965213.5758488,17,0.12987767159938812
1586965268.95222,18,0.14182542264461517
