Wall time,Step,Value
1586964408.5388167,0,0.5258015394210815
1586964485.317707,1,0.19521565735340118
1586964549.9459815,2,0.20345854759216309
1586964607.6967893,3,0.14097242057323456
1586964667.0252023,4,0.2296535074710846
1586964723.4001892,5,0.10958478599786758
1586964783.0668442,6,0.13352681696414948
1586964841.02597,7,0.12176120281219482
1586964899.5972714,8,0.153823122382164
1586964956.2417629,9,0.1359090954065323
1586965012.5280933,10,0.14820343255996704
1586965067.851551,11,0.1254364401102066
1586965128.4721558,12,0.14094625413417816
1586965188.0274315,13,0.1364549994468689
1586965245.7850597,14,0.13959167897701263
1586965299.390555,15,0.13240237534046173
