Wall time,Step,Value
1586960125.7529237,0,0.7933545708656311
1586960195.6953669,1,0.40338072180747986
1586960270.2150462,2,0.17445632815361023
1586960345.6434255,3,0.2308415025472641
1586960420.441318,4,0.08843588083982468
1586960490.2332656,5,0.18738332390785217
1586960560.1318996,6,0.4678528308868408
1586960634.3153567,7,0.141373410820961
1586960705.6587114,8,0.1795492172241211
1586960775.4159336,9,0.1119479313492775
1586960842.3217974,10,0.07197407633066177
1586960912.9001977,11,0.1279151439666748
1586960978.889368,12,0.17736966907978058
1586961043.8523588,13,0.12519896030426025
1586961114.2638042,14,0.15680313110351562
1586961183.4379463,15,0.09035918116569519
1586961247.3851576,16,0.12451209127902985
1586961313.2978616,17,0.08673529326915741
1586961384.7566988,18,0.09616387635469437
1586961451.6435113,19,0.12409745901823044
1586961524.8468165,20,0.11397168040275574
