Wall time,Step,Value
1587206369.4959316,0,1.5089284181594849
1587206432.2942562,1,0.36769503355026245
1587206489.6978142,2,0.22970516979694366
1587206566.2337663,3,0.5856998562812805
1587206637.9433866,4,0.17920838296413422
1587206708.9169915,5,0.13425764441490173
1587206775.9736724,6,0.13651476800441742
1587206849.0383747,7,0.10124050080776215
1587206919.4641654,8,0.15729843080043793
1587206988.634017,9,0.09845614433288574
1587207056.146179,10,0.09503164887428284
1587207122.928718,11,0.10919585078954697
1587207197.897387,12,0.15636877715587616
1587207280.4814346,13,0.10395622998476028
1587207358.009567,14,0.12386943399906158
1587207434.7845085,15,0.12584403157234192
1587207514.605939,16,0.10651300847530365
1587207594.0562603,17,0.10474535077810287
1587207669.0728638,18,0.11252888292074203
1587207747.3250232,19,0.11667755246162415
1587207823.535947,20,0.1051986888051033
