Wall time,Step,Value
1586946920.8332338,0,0.4955501854419708
1586947076.5000105,1,0.2969110310077667
1586947222.5988088,2,0.11281825602054596
1586947370.4581037,3,0.10465721040964127
1586947534.3447716,4,0.10197217762470245
1586947689.8280435,5,0.06970234215259552
1586947840.552042,6,0.11310845613479614
1586947994.751435,7,0.09190394729375839
1586948168.757551,8,0.07947973906993866
1586948348.883714,9,0.10243877023458481
1586948530.1169837,10,0.08838555961847305
1586948696.9565232,11,0.08903272449970245
1586948888.0451627,12,0.09810925275087357
1586949067.6839607,13,0.10026530921459198
1586949271.218017,14,0.09844189882278442
1586949449.4818692,15,0.11902178078889847
